msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=0, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=1, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=2, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=3, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=4, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=5, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=6, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=7, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=8, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=9, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=10, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=11, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=12, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=13, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=14, dtype=float value=-inf
